词汇组 4 (共 50 个词汇)
序号	单词	音标	释义
================================================================================
3100	refuse	/rɪˈfjuːz; ˈrefjuːs/	vt.拒绝,谢绝n.废物,垃圾
1497	firm	/fɜːrm/	n. 商行；商号；公司adj. 坚定的；牢固的；严格的；结实的；坚决的；牢牢控制的；坚挺的adv. 坚信；坚持；稳固地v. 使坚定；使牢固
3211	revise	/rɪˈvaɪz/	vt. 修正；复习；校订vi. 修订；校订；复习功课n. 修订；校订n. (Revise)人名；(法)勒维斯
3756	subject	/ˈsʌbdʒɪkt/	n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属
3040	rate	/reɪt/	n. 比率，率；速度；价格；等级vt. 认为；估价；责骂vi. 责骂；被评价n. (Rate)人名；(法、塞)拉特
587	cathedral	/kəˈθiːdrəl/	n. 大教堂
2333	margin	/ˈmɑːrdʒɪn/	n. 边缘；利润，余裕；页边的空白vt. 加边于；加旁注于n. (Margin)人名；(俄、意)马尔金
4015	tourist	/ˈtʊrɪst/	n. 旅行者，观光客adj. 旅游的vt. 在旅行参观vi. 旅游；观光adv. 坐旅游车厢；坐经济舱
145	ampere	/æm'pɪr/	n. 安培（计算电流强度的标准单位）
4012	touch	/tʌtʃ/	n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到
2183	league	/liːɡ/	n. 联盟；社团；范畴vt. 使…结盟；与…联合vi. 团结；结盟n. (League)人名；(英)利格
1771	happy	/ˈhæpi/	adj. 幸福的；高兴的；巧妙的n. (Happy)人名；(英、瑞典、喀)哈皮
4223	vex	/veks/	vt. 使烦恼；使困惑；使恼怒vi. 烦恼
1267	employee	/ɪmˈplɔɪiː/	n. 雇员；从业员工
3546	snake	/sneɪk/	n. 蛇；阴险的人vi. 迂回前进vt. 拉（木材等）；迂回前进
3823	suspicion	/səˈspɪʃn/	n. 怀疑；嫌疑；疑心；一点儿vt. 怀疑
1377	expense	/ɪkˈspens/	n. 损失，代价；消费；开支vt. 向…收取费用vi. 被花掉
3268	routine	/ruːˈtiːn/	n. 常规，惯例；生活乏味；（演出中的）一套动作；（计算机）例行程序adj. 常规的，例行的；平常的；乏味的v. 按惯例安排
2827	porter	/'potər/	n. 门房；服务员；行李搬运工；守门人n. (Porter)人名；(英、西、葡)波特；(德)波特
2753	pigeon	/ˈpɪdʒɪn/	n. 鸽子n. (Pigeon)人名；(法)皮容；(英)皮金
2573	nitrogen	/ˈnaɪtrədʒən/	n. [化学] 氮
1184	due	/duː/	adj. 到期的；预期的；应付的；应得的；恰当的，适当的n. 应付款；应得之物adv. 正（置于方位词前）n. （Due）迪尤（人名）
3283	rush	/rʌʃ/	n. 冲进；匆促；急流；灯心草adj. 急需的vt. 使冲；突袭；匆忙地做；飞跃vi. 冲；奔；闯；赶紧；涌现n. (Rush)人名；(英)拉什
3831	sweat	/swet/	n.汗v.(使)出汗
1776	hardship	/ˈhɑːrdʃɪp/	n. 困苦；苦难；艰难险阻
1720	great	/ɡreɪt/	adj. 伟大的，重大的；极好的，好的；主要的n. 大师；大人物；伟人们
4272	want	/wɑːnt/	vt. 需要；希望；应该；缺少n. 需要；缺乏；贫困；必需品vi. 需要；缺少
