词汇组 33 (共 50 个词汇)
序号	单词	音标	释义
================================================================================
870	core	/kɔːr/	n. 核心；要点；果心；[计] 磁心vt. 挖...的核n. (Core)人名；(英)科尔；(西、意)科雷
3198	restrict	/rɪˈstrɪkt/	vt. 限制；约束；限定
2182	leaf	/liːf/	n. 叶子；（书籍等的）一张；扇页vi. 生叶；翻书页vt. 翻…的页，匆匆翻阅n. (Leaf)人名；(英)利夫
3468	side	/saɪd/	n. 方面；侧面；旁边vi. 支持；赞助；偏袒adj. 旁的，侧的vt. 同意，支持n. (Side)人名；(英)赛德
2830	Portugal	/ˈpɔːrtʃʊɡl/	n. 葡萄牙（欧洲西南部国家）
698	cloth	/klɔːθ/	n. 布；织物；桌布adj. 布制的n. (Cloth)人名；(德)克洛特
574	carrot	/ˈkærət/	n. 胡萝卜诱饵
3700	stick	/stɪk/	vt. 刺，戳；伸出；粘贴vi. 坚持；伸出；粘住n. 棍；手杖；呆头呆脑的人n. （Stick）（芬）斯蒂克（人名）
10	absent	/ˈæbsənt/	adj. 缺席的；缺少的；心不在焉的；茫然的vt. 使缺席
1935	impossible	/ɪmˈpɑːsəbl/	adj. 不可能的；不可能存在的；难以忍受的；不真实的n. 不可能；不可能的事
1568	fountain	/ˈfaʊntn/	n. 喷泉，泉水；源泉n. (Fountain)人名；(英)方丹
473	brilliant	/ˈbrɪliənt/	adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
3171	resemble	/rɪˈzembl/	vt. 类似，像
3938	thirsty	/ˈθɜːrsti/	adj. 口渴的，口干的；渴望的，热望的
3940	thirty	/ˈθɜːrti/	n. 三十年代num. 三十adj. 三十个的
4194	valid	/ˈvælɪd/	adj. 有效的；有根据的；合法的；正当的
1228	eight	/eɪt/	num. 八；八个；第八；八岁；八点adj. 八的n. 八人划船队
4203	variation	/ˌveriˈeɪʃn/	n. 变化，变更，变动；[生物] 变异，变种；变奏曲
1697	gradual	/ˈɡrædʒuəl/	adj. 逐渐的；平缓的n. 弥撒升阶圣歌集
1143	donkey	/ˈdɑːŋki/	n. 驴子；傻瓜；顽固的人
799	confident	/ˈkɑːnfɪdənt/	adj. 自信的；确信的
