词汇组 14 (共 50 个词汇)
序号	单词	音标	释义
================================================================================
1272	enclose	/ɪnˈkloʊz/	vt. 围绕；装入；放入封套
1667	glide	/ɡlaɪd/	vi. 滑翔；滑行；悄悄地走；消逝vt. 使滑行；使滑动n. 滑翔；滑行；滑移；滑音
489	brow	/braʊ/	n. 眉，眉毛；额；表情n. (Brow)人名；(西)布劳
3230	ring	/rɪŋ/	n.环,环形物,环状,铃声,声调,打电话,拳击场vt.包围,套住,按铃,敲钟vi.成环形,响,鸣,敲钟,回响,按铃
2746	pick	/pɪk/	vi. 挑选；采摘；挖vt. 拾取；精选；采摘；掘n. 选择；鹤嘴锄；挖；掩护n. (Pick)人名；(英、法、德、捷、匈、瑞典)皮克
3646	spot	/spɑːt/	n. 地点；斑点vt. 认出；弄脏；用灯光照射vi. 沾上污渍；满是斑点adj. 现场的；现货买卖的adv. 准确地；恰好
1926	immigrant	/ˈɪmɪɡrənt/	adj. 移民的；迁入的n. 移民，侨民
424	bold	/boʊld/	adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的n. (Bold)人名；(英、德、罗、捷、瑞典)博尔德
3801	supper	/ˈsʌpər/	n. 晚餐，晚饭；夜宵
2551	neither	/ˈniːðər,ˈnaɪðər/	conj. 也不；既不adv. 两个都不；既不……也不adj. 两者都不的pron. 两者都不
2355	matter	/ˈmætər/	n. 物质；事件vi. 有关系；要紧n. (Matter)人名；(英、法)马特；(西)马特尔
3564	soil	/sɔɪl/	n. 土地；土壤；国家；粪便；务农；温床vt. 弄脏；污辱vi. 变脏
4188	utter	/ˈʌtər/	adj. 完全的；彻底的；无条件的v. 说出；发出，表达；发射；使用伪钞n. (Utter) （美、瑞、德、加、法、俄、匈）乌特（人名）
2796	plus	/plʌs/	 prep.加上adj.正的,加的
2869	prejudice	/ˈpredʒudɪs/	n. 偏见；侵害vt. 损害；使有偏见
3944	those	/ðoʊz/	det. 那些（that 的复数）pron. 那些（that 的复数）
2670	oppress	/əˈpres/	vt. 压迫，压抑；使……烦恼；使……感到沉重
534	call	/kɔːl/	vi. 呼叫；拜访；叫牌vt. 呼叫；称呼；召集n. 电话；呼叫；要求；访问n. (Call)人名；(瑞典、罗)卡尔；(英)考尔
395	birthday	/ˈbɜːrθdeɪ/	n. 生日，诞辰；诞生的日子
631	cheer	/tʃɪr/	n.愉快,欢呼v.(使)快活,(对)欢呼
