词汇组 85 (共 50 个词汇)
序号	单词	音标	释义
================================================================================
718	collapse	/kəˈlæps/	n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒
2905	privilege	/ˈprɪvəlɪdʒ/	n. 特权；优待vt. 给予…特权；特免
2125	kite	/kaɪt/	n. 风筝vi. 使用空头支票；像风筝一样飞；轻快地移动vt. 骗钱；涂改（支票）n. （Kite）（塞）基特；（英）凯特（人名）
767	complicate	/ˈkɑːmplɪkeɪt/	vt. 使复杂化；使恶化；使卷入
3101	refute	/rɪˈfjuːt/	vt. 反驳，驳斥；驳倒
2891	priest	/priːst/	n. 牧师；神父；教士vt. 使成为神职人员；任命…为祭司n. (Priest)人名；(英、德)普里斯特
2228	lighten	/ˈlaɪtn/	vi. 减轻；发亮vt. 使照亮；使轻松
3444	shiver	/ˈʃɪvər/	v. 颤抖，哆嗦；打碎n. 颤抖，哆嗦；（因恐惧产生的）寒颤；碎片n. (Shiver) （美、斯）希弗（人名）
3991	toilet	/ˈtɔɪlət/	n. 厕所，盥洗室；梳妆，打扮vi. 梳妆，打扮vt. 给…梳妆打扮
2685	organic	/ɔːrˈɡænɪk/	adj. [有化] 有机的；组织的；器官的；根本的
2037	interpretation	/ɪnˌtɜːrprəˈteɪʃn/	n. 解释；翻译；演出
71	admission	/ədˈmɪʃn/	n. 承认；入场费；进入许可；坦白；录用
1189	duration	/duˈreɪʃn/	n. 持续，持续的时间，期间；音长，音延
3928	they	/ðeɪ/	pron. 他们；它们；她们
3272	rubber	/ˈrʌbər/	n. 橡胶；橡皮；合成橡胶；避孕套adj. 橡胶制成的vt. 涂橡胶于；用橡胶制造vi. 扭转脖子看；好奇地引颈而望n. (Rubber)（西鲁）韦尔（人名）
761	compile	/kəmˈpaɪl/	vt. 编译；编制；编辑；[图情] 汇编
757	compel	/kəmˈpel/	vt. 强迫，迫使；强使发生n. (Compel)人名；(法)孔佩尔
3329	scare	/sker/	v. （使）害怕；受惊吓；吓跑n. 恐惧；惊吓；（社会上的）大恐慌adj. 骇人的
2776	plant	/plænt/	n. 工厂，车间；植物；设备；庄稼vt. 种植；培养；栽培；安置vi. 种植n. （Plant）（英、西、意）普兰特（人名）；（法）普朗（人名）
